user_id,user_type,date,category,amount,payment
Isabella Anderson,Freelancer,2026-05-09 12:26:03.175551,Bills,-600.82,UPI
Liam Johnson,Freelancer,2026-01-20 12:26:03.175565,Income,7753.74,Card
Ethan Taylor,Freelancer,2026-03-13 12:26:03.175578,Entertainment,-7898.15,Card
Alexander Lee,Freelancer,2026-04-14 12:26:03.175594,Bills,-1466.89,Cash
Amelia Lewis,Freelancer,2026-03-03 12:26:03.175611,Shopping,-4071.03,Card
Sophia Brown,Freelancer,2026-02-21 12:26:03.175624,Entertainment,-6636.54,Cash
Ethan Taylor,Freelancer,2026-04-11 12:26:03.175637,Food,-7974.1,Cash
Matthew Allen,Freelancer,2026-03-25 12:26:03.175650,Bills,-2892.53,Cash
Sophia Brown,Freelancer,2026-03-03 12:26:03.175663,Bills,-2446.34,Cash
Emma Wilson,Freelancer,2026-01-17 12:26:03.175677,Bills,-4813.16,Card
Olivia Martinez,Freelancer,2026-02-20 12:26:03.175695,Travel,-5363.23,Cash
Noah Davis,Freelancer,2026-03-05 12:26:03.175709,Food,-1460.39,Cash
Daniel Walker,Freelancer,2026-02-28 12:26:03.175722,Entertainment,-2182.22,UPI
Liam Johnson,Freelancer,2026-03-07 12:26:03.175735,Income,3040.3,Card
Harper Hall,Freelancer,2026-02-07 12:26:03.175748,Bills,-5369.33,UPI
Liam Johnson,Freelancer,2026-01-17 12:26:03.175762,Entertainment,-4680.16,UPI
Benjamin Clark,Freelancer,2026-04-01 12:26:03.175775,Entertainment,-6302.03,Card
Emma Wilson,Freelancer,2026-02-16 12:26:03.175792,Entertainment,-1899.94,Cash
Matthew Allen,Freelancer,2026-02-21 12:26:03.175810,Income,6125.57,Card
Aarav Sharma,Freelancer,2026-04-13 12:26:03.175822,Shopping,-4904.34,UPI
Isabella Anderson,Freelancer,2026-02-09 12:26:03.175835,Travel,-5428.95,Card
Harper Hall,Freelancer,2026-02-04 12:26:03.175849,Bills,-7189.55,Card
Matthew Allen,Freelancer,2026-01-24 12:26:03.175866,Entertainment,-1728.23,Card
Evelyn Young,Freelancer,2026-04-29 12:26:03.175878,Income,6910.38,UPI
Aarav Sharma,Freelancer,2026-03-07 12:26:03.175892,Income,2127.1,UPI
Ethan Taylor,Freelancer,2026-02-14 12:26:03.175904,Shopping,-506.84,Cash
Daniel Walker,Freelancer,2026-02-11 12:26:03.175918,Travel,-2405.66,Card
Liam Johnson,Freelancer,2026-03-12 12:26:03.175931,Bills,-7785.7,Card
Grace Scott,Freelancer,2026-02-28 12:26:03.175945,Income,4728.9,UPI
Benjamin Clark,Freelancer,2026-02-07 12:26:03.175958,Travel,-7753.03,Cash
James Thomas,Freelancer,2026-05-17 12:26:03.175975,Income,866.93,Cash
Harper Hall,Freelancer,2026-02-01 12:26:03.175987,Food,-7488.9,Cash
Alexander Lee,Freelancer,2026-03-04 12:26:03.176001,Shopping,-2425.89,Card
Mia White,Freelancer,2026-01-21 12:26:03.176014,Bills,-1832.94,UPI
Noah Davis,Freelancer,2026-03-04 12:26:03.176027,Income,4460.25,Card
Ethan Taylor,Freelancer,2026-02-17 12:26:03.176038,Travel,-6601.95,Card
Grace Scott,Freelancer,2026-03-01 12:26:03.176052,Food,-2920.39,Card
Matthew Allen,Freelancer,2026-01-27 12:26:03.176065,Entertainment,-2450.61,UPI
Mia White,Freelancer,2026-04-02 12:26:03.176078,Travel,-1063.84,Card
Emma Wilson,Freelancer,2026-03-01 12:26:03.176092,Income,2203.63,UPI
Emma Wilson,Freelancer,2026-01-18 12:26:03.176107,Bills,-975.5,Card
Benjamin Clark,Freelancer,2026-03-14 12:26:03.176121,Entertainment,-434.62,Cash
Charlotte Harris,Freelancer,2026-01-27 12:26:03.176134,Shopping,-6875.76,Card
Isabella Anderson,Freelancer,2026-02-19 12:26:03.176146,Shopping,-2328.48,Cash
Daniel Walker,Freelancer,2026-04-07 12:26:03.176179,Entertainment,-2566.65,Cash
Isabella Anderson,Freelancer,2026-04-03 12:26:03.176192,Shopping,-941.03,Card
Mia White,Freelancer,2026-03-14 12:26:03.176206,Shopping,-2009.18,UPI
Aarav Sharma,Freelancer,2026-05-03 12:26:03.176218,Food,-1300.88,UPI
Henry King,Freelancer,2026-04-05 12:26:03.176231,Shopping,-7743.41,Card
Henry King,Freelancer,2026-05-10 12:26:03.176243,Travel,-2256.7,Cash
Evelyn Young,Freelancer,2026-03-03 12:26:03.176257,Entertainment,-2334.13,UPI
Harper Hall,Freelancer,2026-04-15 12:26:03.176270,Bills,-5500.11,Cash
Noah Davis,Freelancer,2026-03-20 12:26:03.176297,Entertainment,-7421.8,UPI
Noah Davis,Freelancer,2026-05-03 12:26:03.176310,Income,4684.06,UPI
Charlotte Harris,Freelancer,2026-02-13 12:26:03.176323,Travel,-1359.83,UPI
Charlotte Harris,Freelancer,2026-04-21 12:26:03.176335,Shopping,-1276.81,Card
Emma Wilson,Freelancer,2026-02-17 12:26:03.176349,Shopping,-2681.88,Cash
Harper Hall,Freelancer,2026-05-05 12:26:03.176361,Entertainment,-1675.77,Card
Daniel Walker,Freelancer,2026-03-25 12:26:03.176375,Shopping,-2212.87,UPI
Henry King,Freelancer,2026-05-15 12:26:03.176388,Travel,-7104.44,Cash
Harper Hall,Freelancer,2026-04-21 12:26:03.176401,Entertainment,-1267.69,UPI
Benjamin Clark,Freelancer,2026-02-06 12:26:03.176413,Entertainment,-5202.04,Cash
Amelia Lewis,Freelancer,2026-01-31 12:26:03.176425,Income,6583.87,Card
Olivia Martinez,Freelancer,2026-04-07 12:26:03.176437,Income,5350.25,UPI
Harper Hall,Freelancer,2026-03-09 12:26:03.176453,Bills,-6199.84,Cash
Isabella Anderson,Freelancer,2026-04-16 12:26:03.176465,Shopping,-7357.16,Card
Liam Johnson,Freelancer,2026-03-15 12:26:03.176478,Shopping,-2012.46,Card
Matthew Allen,Freelancer,2026-05-13 12:26:03.176490,Travel,-7167.56,Card
Emma Wilson,Freelancer,2026-05-12 12:26:03.176504,Shopping,-5526.91,Card
Liam Johnson,Freelancer,2026-04-27 12:26:03.176516,Food,-7109.36,Cash
Ethan Taylor,Freelancer,2026-01-25 12:26:03.176530,Food,-2984.87,Card
Aarav Sharma,Freelancer,2026-02-17 12:26:03.176541,Bills,-5429.8,UPI
Aarav Sharma,Freelancer,2026-02-09 12:26:03.176554,Bills,-3371.7,Cash
Sophia Brown,Freelancer,2026-01-27 12:26:03.176571,Shopping,-4678.85,UPI
Amelia Lewis,Freelancer,2026-02-26 12:26:03.176584,Bills,-2747.79,Cash
Harper Hall,Freelancer,2026-03-05 12:26:03.176596,Entertainment,-6493.77,Cash
Olivia Martinez,Freelancer,2026-04-27 12:26:03.176609,Shopping,-253.87,UPI
Noah Davis,Freelancer,2026-02-09 12:26:03.176621,Entertainment,-3999.63,Card
Benjamin Clark,Freelancer,2026-04-04 12:26:03.176637,Shopping,-4155.13,Cash
Alexander Lee,Freelancer,2026-03-10 12:26:03.176655,Income,2652.2,UPI
Harper Hall,Freelancer,2026-04-19 12:26:03.176673,Travel,-1238.63,Card
Sophia Brown,Freelancer,2026-03-08 12:26:03.176688,Entertainment,-5774.63,Cash
Emma Wilson,Freelancer,2026-05-08 12:26:03.176699,Travel,-1588.56,Cash
Alexander Lee,Freelancer,2026-03-15 12:26:03.176712,Entertainment,-6375.58,UPI
Grace Scott,Freelancer,2026-03-17 12:26:03.176727,Income,1422.95,Card
Aarav Sharma,Freelancer,2026-05-16 12:26:03.176741,Entertainment,-4834.43,Cash
Grace Scott,Freelancer,2026-03-06 12:26:03.176758,Entertainment,-2395.87,Card
Henry King,Freelancer,2026-04-12 12:26:03.176772,Income,1292.24,Cash
Noah Davis,Freelancer,2026-01-25 12:26:03.176788,Bills,-7283.61,UPI
Olivia Martinez,Freelancer,2026-03-14 12:26:03.176807,Travel,-6313.26,Cash
Olivia Martinez,Freelancer,2026-03-11 12:26:03.176824,Food,-1353.44,Card
Mia White,Freelancer,2026-03-12 12:26:03.176837,Food,-1697.56,Cash
Daniel Walker,Freelancer,2026-04-10 12:26:03.176850,Travel,-5426.61,UPI
Noah Davis,Freelancer,2026-04-17 12:26:03.176862,Food,-4214.91,Card
Benjamin Clark,Freelancer,2026-04-27 12:26:03.176876,Shopping,-6329.91,Card
Sophia Brown,Freelancer,2026-05-02 12:26:03.176888,Food,-1161.96,UPI
Sophia Brown,Freelancer,2026-02-01 12:26:03.176902,Shopping,-449.33,Cash
Isabella Anderson,Freelancer,2026-05-04 12:26:03.176914,Income,1324.28,Card
Isabella Anderson,Freelancer,2026-03-16 12:26:03.176927,Entertainment,-4232.56,Cash
Harper Hall,Freelancer,2026-04-13 12:26:03.176939,Entertainment,-2285.98,Card
Daniel Walker,Freelancer,2026-03-16 12:26:03.176952,Income,5675.74,UPI
Aarav Sharma,Freelancer,2026-01-22 12:26:03.176965,Income,5511.59,Card
Charlotte Harris,Freelancer,2026-04-12 12:26:03.176978,Food,-4276.15,Card
Mia White,Freelancer,2026-02-23 12:26:03.176992,Food,-7506.98,UPI
Liam Johnson,Freelancer,2026-01-22 12:26:03.177006,Income,3546.44,Card
Olivia Martinez,Freelancer,2026-04-27 12:26:03.177018,Bills,-7865.48,Cash
Daniel Walker,Freelancer,2026-01-21 12:26:03.177031,Travel,-1103.41,Card
Harper Hall,Freelancer,2026-03-25 12:26:03.177044,Bills,-4701.29,UPI
Daniel Walker,Freelancer,2026-02-21 12:26:03.177058,Shopping,-5350.05,Card
Matthew Allen,Freelancer,2026-02-02 12:26:03.177070,Entertainment,-6527.62,UPI
Noah Davis,Freelancer,2026-02-26 12:26:03.177083,Entertainment,-2188.65,Card
Charlotte Harris,Freelancer,2026-03-08 12:26:03.177096,Food,-4327.09,Card
Liam Johnson,Freelancer,2026-02-21 12:26:03.177109,Bills,-3854.3,Cash
Matthew Allen,Freelancer,2026-02-26 12:26:03.177121,Bills,-6596.92,UPI
Amelia Lewis,Freelancer,2026-02-19 12:26:03.177134,Income,4260.2,UPI
Grace Scott,Freelancer,2026-04-28 12:26:03.177147,Shopping,-586.38,Cash
Isabella Anderson,Freelancer,2026-02-17 12:26:03.177166,Shopping,-7340.63,UPI
Amelia Lewis,Freelancer,2026-04-20 12:26:03.177178,Travel,-7660.38,UPI
Ethan Taylor,Freelancer,2026-05-02 12:26:03.177191,Travel,-1552.24,UPI
Amelia Lewis,Freelancer,2026-02-17 12:26:03.177204,Shopping,-7015.15,Card
Olivia Martinez,Freelancer,2026-04-20 12:26:03.177217,Travel,-4376.55,Cash
Matthew Allen,Freelancer,2026-02-28 12:26:03.177234,Shopping,-3923.69,Cash
Aarav Sharma,Freelancer,2026-03-06 12:26:03.177247,Shopping,-7678.78,UPI
Olivia Martinez,Freelancer,2026-04-28 12:26:03.177261,Entertainment,-5837.94,Cash
Alexander Lee,Freelancer,2026-01-17 12:26:03.177275,Entertainment,-1527.39,Cash
Henry King,Freelancer,2026-04-20 12:26:03.177288,Entertainment,-4668.03,Card
Olivia Martinez,Freelancer,2026-05-10 12:26:03.177300,Income,2903.1,UPI
Grace Scott,Freelancer,2026-04-01 12:26:03.177313,Travel,-4665.97,UPI
Daniel Walker,Freelancer,2026-02-06 12:26:03.177326,Income,395.48,Card
Amelia Lewis,Freelancer,2026-04-27 12:26:03.177339,Shopping,-7852.56,UPI
Emma Wilson,Freelancer,2026-02-14 12:26:03.177352,Income,7280.78,Cash
Sophia Brown,Freelancer,2026-03-20 12:26:03.177365,Shopping,-6094.31,UPI
Emma Wilson,Freelancer,2026-04-30 12:26:03.177377,Travel,-1155.93,Card
Mia White,Freelancer,2026-03-31 12:26:03.177391,Entertainment,-5640.43,UPI
Emma Wilson,Freelancer,2026-05-15 12:26:03.177403,Travel,-2904.82,Cash
Olivia Martinez,Freelancer,2026-04-19 12:26:03.177417,Travel,-1057.37,Card
Mia White,Freelancer,2026-02-16 12:26:03.177428,Food,-3705.92,UPI
Charlotte Harris,Freelancer,2026-02-04 12:26:03.177442,Shopping,-3221.26,Card
Alexander Lee,Freelancer,2026-04-26 12:26:03.177455,Food,-4743.59,Card
Mia White,Freelancer,2026-03-29 12:26:03.177468,Income,7138.48,Card
Matthew Allen,Freelancer,2026-01-31 12:26:03.177481,Shopping,-358.57,Cash
Grace Scott,Freelancer,2026-04-09 12:26:03.177494,Bills,-2129.45,UPI
Evelyn Young,Freelancer,2026-03-07 12:26:03.177506,Entertainment,-6857.51,Cash
Benjamin Clark,Freelancer,2026-04-03 12:26:03.177520,Food,-3277.01,Cash
Ethan Taylor,Freelancer,2026-03-11 12:26:03.177533,Travel,-4030.46,Cash
Daniel Walker,Freelancer,2026-02-11 12:26:03.177547,Income,3271.21,Cash
Alexander Lee,Freelancer,2026-02-01 12:26:03.177561,Food,-2507.25,Card
Harper Hall,Freelancer,2026-04-29 12:26:03.177574,Bills,-6444.72,Cash
Ethan Taylor,Freelancer,2026-02-22 12:26:03.177590,Travel,-7034.43,Cash
Alexander Lee,Freelancer,2026-01-28 12:26:03.177608,Shopping,-1866.11,Cash
Amelia Lewis,Freelancer,2026-02-15 12:26:03.177622,Travel,-3632.15,UPI
Harper Hall,Freelancer,2026-01-17 12:26:03.177635,Shopping,-1300.5,UPI
Isabella Anderson,Freelancer,2026-04-30 12:26:03.177648,Travel,-6347.39,Card
Amelia Lewis,Freelancer,2026-02-28 12:26:03.177663,Income,4607.54,Card
Matthew Allen,Freelancer,2026-03-09 12:26:03.177685,Food,-7642.3,Cash
Grace Scott,Freelancer,2026-04-06 12:26:03.177698,Bills,-4861.37,UPI
Amelia Lewis,Freelancer,2026-03-15 12:26:03.177711,Entertainment,-6613.66,Cash
Olivia Martinez,Freelancer,2026-04-07 12:26:03.177724,Food,-6116.91,Card
James Thomas,Freelancer,2026-01-22 12:26:03.177752,Food,-7125.73,UPI
Ethan Taylor,Freelancer,2026-03-02 12:26:03.177771,Income,6606.65,UPI
Emma Wilson,Freelancer,2026-04-11 12:26:03.177783,Shopping,-3177.98,Card
Noah Davis,Freelancer,2026-05-03 12:26:03.177796,Income,725.48,UPI
Henry King,Freelancer,2026-05-02 12:26:03.177809,Shopping,-600.38,Card
Harper Hall,Freelancer,2026-04-21 12:26:03.177821,Income,5246.89,Cash
Aarav Sharma,Freelancer,2026-04-11 12:26:03.177834,Entertainment,-6736.62,UPI
Henry King,Freelancer,2026-03-14 12:26:03.177847,Income,2137.31,Cash
Evelyn Young,Freelancer,2026-05-01 12:26:03.177859,Bills,-3845.93,Cash
James Thomas,Freelancer,2026-02-08 12:26:03.177873,Shopping,-2479.43,Cash
Amelia Lewis,Freelancer,2026-03-29 12:26:03.177885,Food,-3320.21,Cash
Amelia Lewis,Freelancer,2026-05-01 12:26:03.177898,Entertainment,-805.18,Card
Alexander Lee,Freelancer,2026-03-11 12:26:03.177911,Entertainment,-3481.71,UPI
Charlotte Harris,Freelancer,2026-04-23 12:26:03.177924,Food,-4236.97,Card
Noah Davis,Freelancer,2026-04-05 12:26:03.177938,Travel,-1205.76,Card
Olivia Martinez,Freelancer,2026-02-12 12:26:03.177950,Travel,-5076.03,Card
Amelia Lewis,Freelancer,2026-05-17 12:26:03.177963,Bills,-3327.84,Cash
Ethan Taylor,Freelancer,2026-03-30 12:26:03.177975,Shopping,-7962.06,Cash
Mia White,Freelancer,2026-05-14 12:26:03.177991,Bills,-4343.11,Cash
Evelyn Young,Freelancer,2026-03-08 12:26:03.178004,Income,6136.73,Cash
Sophia Brown,Freelancer,2026-05-06 12:26:03.178017,Income,6218.23,UPI
James Thomas,Freelancer,2026-01-24 12:26:03.178029,Travel,-3307.71,UPI
Mia White,Freelancer,2026-04-20 12:26:03.178042,Bills,-4487.87,UPI
Benjamin Clark,Freelancer,2026-01-21 12:26:03.178055,Bills,-3787.45,Cash
Charlotte Harris,Freelancer,2026-02-13 12:26:03.178067,Income,3350.47,Cash
Emma Wilson,Freelancer,2026-01-31 12:26:03.178080,Food,-438.73,Card
Grace Scott,Freelancer,2026-04-18 12:26:03.178092,Travel,-760.07,Cash
Henry King,Freelancer,2026-04-20 12:26:03.178105,Shopping,-297.98,UPI
Noah Davis,Freelancer,2026-03-01 12:26:03.178118,Food,-5828.64,Card
Isabella Anderson,Freelancer,2026-05-14 12:26:03.178131,Food,-6697.64,Cash
Benjamin Clark,Freelancer,2026-02-24 12:26:03.178144,Food,-392.78,Cash
Charlotte Harris,Freelancer,2026-05-04 12:26:03.178157,Income,6696.56,Card
Ethan Taylor,Freelancer,2026-05-10 12:26:03.178185,Income,4310.29,UPI
Emma Wilson,Freelancer,2026-04-02 12:26:03.178199,Food,-3345.63,Cash
Daniel Walker,Freelancer,2026-02-02 12:26:03.178212,Travel,-6302.36,Cash
Daniel Walker,Freelancer,2026-05-08 12:26:03.178224,Bills,-7269.73,UPI
Liam Johnson,Freelancer,2026-05-06 12:26:03.178237,Bills,-4561.41,Cash
Daniel Walker,Freelancer,2026-02-21 12:26:03.178250,Food,-4214.1,Card
Mia White,Freelancer,2026-05-03 12:26:03.178263,Travel,-4067.4,UPI
Matthew Allen,Freelancer,2026-04-29 12:26:03.178276,Food,-5917.02,Cash
Daniel Walker,Freelancer,2026-05-17 12:26:03.178288,Income,6065.96,UPI
Benjamin Clark,Freelancer,2026-05-06 12:26:03.178301,Entertainment,-5799.66,Card
Liam Johnson,Freelancer,2026-03-28 12:26:03.178319,Entertainment,-1872.27,Card
Amelia Lewis,Freelancer,2026-03-10 12:26:03.178333,Entertainment,-7205.08,Cash
Charlotte Harris,Freelancer,2026-05-13 12:26:03.178346,Food,-1178.07,Card
James Thomas,Freelancer,2026-03-14 12:26:03.178359,Bills,-3814.5,Card
Liam Johnson,Freelancer,2026-02-21 12:26:03.178371,Travel,-7434.14,Cash
Liam Johnson,Freelancer,2026-03-18 12:26:03.178384,Food,-2339.68,Cash
Daniel Walker,Freelancer,2026-03-19 12:26:03.178397,Income,6198.22,Cash
Sophia Brown,Freelancer,2026-01-30 12:26:03.178410,Income,4682.01,Cash
Emma Wilson,Freelancer,2026-05-02 12:26:03.178424,Food,-2210.86,Cash
Daniel Walker,Freelancer,2026-04-29 12:26:03.178436,Entertainment,-489.83,UPI
Charlotte Harris,Freelancer,2026-03-09 12:26:03.178450,Shopping,-5670.43,Cash
Ethan Taylor,Freelancer,2026-04-05 12:26:03.178464,Entertainment,-7684.74,UPI
Mia White,Freelancer,2026-04-01 12:26:03.178476,Entertainment,-4122.36,UPI
Matthew Allen,Freelancer,2026-04-21 12:26:03.178493,Income,2760.98,Cash
James Thomas,Freelancer,2026-04-04 12:26:03.178506,Bills,-4442.97,Card
Amelia Lewis,Freelancer,2026-01-24 12:26:03.178520,Entertainment,-6679.54,UPI
James Thomas,Freelancer,2026-03-20 12:26:03.178532,Shopping,-7473.81,Card
Sophia Brown,Freelancer,2026-03-24 12:26:03.178546,Income,5080.31,Cash
Daniel Walker,Freelancer,2026-03-24 12:26:03.178559,Income,3579.18,Cash
Noah Davis,Freelancer,2026-03-29 12:26:03.178572,Bills,-6048.9,Cash
Mia White,Freelancer,2026-02-16 12:26:03.178585,Shopping,-6925.94,Cash
Liam Johnson,Freelancer,2026-05-11 12:26:03.178598,Bills,-7666.84,UPI
Matthew Allen,Freelancer,2026-05-07 12:26:03.178610,Travel,-3378.35,Card
Amelia Lewis,Freelancer,2026-01-24 12:26:03.178625,Food,-7335.09,Card
Daniel Walker,Freelancer,2026-04-10 12:26:03.178637,Entertainment,-3745.42,Cash
Aarav Sharma,Freelancer,2026-04-30 12:26:03.178656,Bills,-2127.36,UPI
Grace Scott,Freelancer,2026-04-11 12:26:03.178674,Food,-3549.6,UPI
Grace Scott,Freelancer,2026-04-05 12:26:03.178687,Income,4380.46,Card
Liam Johnson,Freelancer,2026-03-07 12:26:03.178700,Travel,-6713.22,Cash
Harper Hall,Freelancer,2026-03-19 12:26:03.178713,Food,-6194.6,Cash
Grace Scott,Freelancer,2026-04-05 12:26:03.178726,Food,-881.84,UPI
Olivia Martinez,Freelancer,2026-03-12 12:26:03.178739,Entertainment,-6287.94,Card
Matthew Allen,Freelancer,2026-01-25 12:26:03.178753,Travel,-931.46,Card
Daniel Walker,Freelancer,2026-04-04 12:26:03.178765,Bills,-322.11,Cash
Grace Scott,Freelancer,2026-03-24 12:26:03.178779,Food,-1042.98,Cash
Benjamin Clark,Freelancer,2026-03-13 12:26:03.178792,Bills,-1650.76,Cash
Isabella Anderson,Freelancer,2026-03-01 12:26:03.178805,Bills,-7584.15,Cash
Noah Davis,Freelancer,2026-01-19 12:26:03.178820,Entertainment,-5780.32,Cash
Aarav Sharma,Freelancer,2026-05-06 12:26:03.178833,Shopping,-5212.74,Cash
Liam Johnson,Freelancer,2026-05-05 12:26:03.178846,Shopping,-6146.84,Cash
James Thomas,Freelancer,2026-03-05 12:26:03.178859,Travel,-3159.32,Card
Alexander Lee,Freelancer,2026-04-22 12:26:03.178872,Shopping,-4676.79,Card
Aarav Sharma,Freelancer,2026-04-23 12:26:03.178885,Travel,-6073.41,Card
Henry King,Freelancer,2026-03-13 12:26:03.178903,Income,6363.76,UPI
Daniel Walker,Freelancer,2026-05-06 12:26:03.178917,Income,7014.19,Card
Henry King,Freelancer,2026-04-04 12:26:03.178929,Bills,-932.36,Card
Emma Wilson,Freelancer,2026-02-02 12:26:03.178944,Bills,-2415.33,Cash
Emma Wilson,Freelancer,2026-04-11 12:26:03.178955,Travel,-7798.47,UPI
Amelia Lewis,Freelancer,2026-01-17 12:26:03.178976,Bills,-1652.65,Cash
Henry King,Freelancer,2026-04-19 12:26:03.178989,Bills,-5189.36,Card
Emma Wilson,Freelancer,2026-02-24 12:26:03.179004,Bills,-4623.27,UPI
Olivia Martinez,Freelancer,2026-02-15 12:26:03.179017,Bills,-6433.46,Card
Charlotte Harris,Freelancer,2026-01-27 12:26:03.179032,Entertainment,-3085.13,Cash
Alexander Lee,Freelancer,2026-04-08 12:26:03.179047,Travel,-6840.13,UPI
Harper Hall,Freelancer,2026-04-19 12:26:03.179062,Income,4413.92,UPI
Sophia Brown,Freelancer,2026-02-27 12:26:03.179075,Food,-4156.95,Card
Aarav Sharma,Freelancer,2026-04-09 12:26:03.179090,Income,7894.88,UPI
Matthew Allen,Freelancer,2026-05-13 12:26:03.179103,Shopping,-2344.01,Card
Matthew Allen,Freelancer,2026-04-23 12:26:03.179118,Income,7865.73,Card
Matthew Allen,Freelancer,2026-05-06 12:26:03.179130,Food,-7921.29,Cash
Emma Wilson,Freelancer,2026-02-24 12:26:03.179143,Travel,-2468.69,UPI
Isabella Anderson,Freelancer,2026-03-15 12:26:03.179156,Shopping,-267.06,UPI
Matthew Allen,Freelancer,2026-04-22 12:26:03.179169,Entertainment,-5857.52,Cash
Olivia Martinez,Freelancer,2026-02-07 12:26:03.179182,Income,5798.57,Cash
Isabella Anderson,Freelancer,2026-04-09 12:26:03.179196,Travel,-301.67,Card
Isabella Anderson,Freelancer,2026-03-30 12:26:03.179208,Travel,-4146.28,UPI
Emma Wilson,Freelancer,2026-05-08 12:26:03.179220,Food,-791.89,Card
Isabella Anderson,Freelancer,2026-03-06 12:26:03.179233,Income,4084.2,Cash
Grace Scott,Freelancer,2026-05-15 12:26:03.179246,Bills,-7887.37,UPI
Benjamin Clark,Freelancer,2026-04-02 12:26:03.179258,Shopping,-6144.35,UPI
James Thomas,Freelancer,2026-01-24 12:26:03.179272,Income,2887.76,UPI
Harper Hall,Freelancer,2026-05-01 12:26:03.179284,Bills,-3398.15,Cash
Charlotte Harris,Freelancer,2026-03-18 12:26:03.179298,Food,-1261.46,Cash
Evelyn Young,Freelancer,2026-03-08 12:26:03.179310,Shopping,-3532.26,Cash
Matthew Allen,Freelancer,2026-03-21 12:26:03.179323,Entertainment,-5249.27,Cash
Amelia Lewis,Freelancer,2026-02-10 12:26:03.179336,Income,6781.62,Card
Sophia Brown,Freelancer,2026-04-30 12:26:03.179350,Food,-6364.82,Card
Aarav Sharma,Freelancer,2026-02-20 12:26:03.179369,Travel,-3125.82,UPI
Noah Davis,Freelancer,2026-02-20 12:26:03.179383,Entertainment,-2110.49,Card
Isabella Anderson,Freelancer,2026-03-12 12:26:03.179395,Entertainment,-7074.25,Cash
Henry King,Freelancer,2026-05-02 12:26:03.179408,Shopping,-7313.74,Cash
Isabella Anderson,Freelancer,2026-04-16 12:26:03.179421,Bills,-6994.84,Cash
Olivia Martinez,Freelancer,2026-04-26 12:26:03.179434,Bills,-6732.29,Cash
Emma Wilson,Freelancer,2026-01-31 12:26:03.179446,Income,5013.57,Cash
Noah Davis,Freelancer,2026-03-09 12:26:03.179463,Travel,-5212.97,Card
Charlotte Harris,Freelancer,2026-02-17 12:26:03.179476,Shopping,-2862.89,UPI
Evelyn Young,Freelancer,2026-02-13 12:26:03.179495,Shopping,-2666.11,UPI
Mia White,Freelancer,2026-01-17 12:26:03.179509,Food,-7361.42,Card
Alexander Lee,Freelancer,2026-03-11 12:26:03.179522,Bills,-2677.85,UPI
Evelyn Young,Freelancer,2026-02-08 12:26:03.179535,Entertainment,-2457.3,UPI
Emma Wilson,Freelancer,2026-04-19 12:26:03.179549,Shopping,-3405.92,Card
Alexander Lee,Freelancer,2026-04-01 12:26:03.179565,Shopping,-1956.73,UPI
Evelyn Young,Freelancer,2026-04-06 12:26:03.179582,Shopping,-6355.04,Cash
Henry King,Freelancer,2026-04-07 12:26:03.179597,Income,5724.65,Card
Olivia Martinez,Freelancer,2026-03-16 12:26:03.179611,Bills,-1666.29,Cash
Alexander Lee,Freelancer,2026-05-11 12:26:03.179623,Food,-2276.36,UPI
